2025_rank,2024_rank,university,country_code,academic_reputation,employer_reputation,international_students,employment_outcomes,sustainability,qs_overall_score,tuition_fee_yearly_usd,method,city,region,sub_region,university_id
1,1,Massachusetts Institute Of Technology (Mit),US,100.0,100.0,86.8,100.0,99.0,100,53790.0,official,Cambridge,Americas,Northern America,0
2,6,Imperial College London,UK,98.5,99.5,99.6,93.4,99.7,98.5,44083.0,scrape-topuniversities,London,Europe,Northern Europe,1
3,3,University Of Oxford,UK,100.0,100.0,97.7,100.0,85.0,96.9,40000.0,estimated,Oxford,Europe,Northern Europe,2
4,4,Harvard University,US,100.0,100.0,69.0,100.0,84.4,96.8,50000.0,estimated,Cambridge,Americas,Northern America,3
5,2,University Of Cambridge,UK,100.0,100.0,94.8,100.0,84.8,96.7,40000.0,estimated,Cambridge,Europe,Northern Europe,4
6,5,Stanford University,US,100.0,100.0,60.8,100.0,81.2,96.1,57500.0,estimated,Stanford,Americas,Northern America,5
7,7,Eth Zurich - Swiss Federal Institute Of Technology,CH,98.8,87.2,98.6,90.5,98.8,93.9,1624.0,scrape-topuniversities,Zurich,Europe,Western Europe,6
8,8,National University Of Singapore (Nus),SG,99.5,91.1,88.9,100.0,97.7,93.7,13180.0,scrape-topuniversities,Singapore,Asia,South-eastern Asia,7
9,9,University College London,UK,99.5,98.3,100.0,70.3,74.8,91.6,,,London,Europe,Northern Europe,8
10,15,California Institute Of Technology (Caltech),US,96.5,95.3,79.8,31.0,62.5,90.9,56000.0,estimated,Pasadena,Americas,Northern America,9
11,12,University Of Pennsylvania,US,96.3,91.9,66.2,100.0,93.0,90.3,60000.0,estimated,Philadelphia,Americas,Northern America,10
12,10,"University Of California, Berkeley (Ucb)",US,100.0,100.0,61.0,98.4,100.0,90.1,32000.0,estimated,Berkeley,Americas,Northern America,11
13,14,The University Of Melbourne,AU,98.5,93.9,99.8,96.5,99.6,88.9,30000.0,estimated,Melbourne,Oceania,Australia and New Zealand,12
14,17,Peking University,CN,99.5,96.6,23.6,94.2,46.9,88.5,3000.0,estimated,Beijing,Asia,Eastern Asia,13
15,26,"Nanyang Technological University, Singapore (Ntu)",SG,91.9,73.3,83.5,83.9,95.6,88.4,25000.0,estimated,Singapore,Asia,South-eastern Asia,14
16,13,Cornell University,US,98.3,93.1,63.4,97.1,72.1,87.9,60000.0,estimated,Ithaca,Americas,Northern America,15
17,26,The University Of Hong Kong,HK,97.4,59.4,99.3,99.7,89.2,87.6,25000.0,estimated,Hong Kong,Asia,Eastern Asia,16
18,19,The University Of Sydney,AU,96.4,90.0,100.0,93.1,99.6,87.3,30000.0,estimated,Sydney,Oceania,Australia and New Zealand,17
19,19,The University Of New South Wales (Unsw Sydney),AU,90.5,90.4,99.4,97.7,99.2,87.1,28000.0,estimated,Sydney,Oceania,Australia and New Zealand,18
20,25,Tsinghua University,CN,99.2,97.7,13.4,92.3,40.4,86.5,4000.0,estimated,Beijing,Asia,Eastern Asia,19
21,11,University Of Chicago,US,99.1,96.4,87.0,99.1,46.9,86.2,60000.0,estimated,Chicago,Americas,Northern America,20
22,17,Princeton University,US,99.8,98.3,56.6,95.7,51.5,85.5,54000.0,estimated,Princeton,Americas,Northern America,21
23,16,Yale University,US,99.9,99.9,63.3,98.5,92.2,85.2,45000.0,estimated,New Haven,Americas,Northern America,22
24,24,Université Psl,FR,74.4,97.6,65.0,97.1,73.4,84.7,262.0,scrape-topuniversities,Paris,Europe,Western Europe,23
25,21,University Of Toronto,CA,99.7,96.9,96.1,98.7,100.0,84.1,30000.0,estimated,Toronto,Americas,Northern America,24
26,36,Epfl,CH,84.2,67.2,100.0,27.2,86.7,83.5,1713.0,scrape-topuniversities,Tunis,Africa,Northern Africa,25
27,22,The University Of Edinburgh,UK,98.3,97.2,99.8,55.9,99.0,83.3,32500.0,estimated,Edinburgh,Europe,Northern Europe,26
28,37,Technical University Of Munich,DE,83.0,98.6,98.6,34.5,93.1,83.2,3500.0,estimated,Munich,Europe,Western Europe,27
29,30,Mcgill University,CA,94.3,87.6,89.6,98.3,99.1,83,24668.0,scrape-topuniversities,Montreal,Americas,Northern America,28
30,34,The Australian National University,AU,93.8,75.4,96.2,56.6,97.1,82.4,24784.0,scrape-topuniversities,Canberra,Oceania,Australia and New Zealand,29
31,41,Seoul National University,KR,98.5,98.6,16.9,100.0,96.0,82.3,7000.0,estimated,Seoul,Asia,Eastern Asia,30
